State,District,Latitude,Longitude,Population,Male,Female,Literate,sex_ratio,literacy_rate
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,580320,308754,271566,428578,87.96,73.85
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,521173,263692,257481,399715,97.64,76.7
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,409936,213641,196295,219083,91.88,53.44
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,1529958,813821,716137,1137135,88.0,74.32
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,140802,77785,63017,86236,81.01,61.25
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,616435,326109,290326,389204,89.03,63.14
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,560440,293064,267376,293958,91.23,52.45
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,476835,251899,224936,261724,89.3,54.89
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,1236829,651124,585705,748584,89.95,60.52
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,554985,296784,258201,322354,87.0,58.08
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,2062330,1072807,989523,1273520,92.24,61.75
Jharkhand,Chatra,24.11619945750453,84.93295804701627,1042886,533935,508951,510061,95.32,48.91
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,1492073,775022,717051,793538,92.52,53.18
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,2684487,1405956,1278531,1722204,90.94,64.15
Jharkhand,Dumka,24.275006125574265,87.27662450229711,1321442,668514,652928,672409,97.67,50.88
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,1322784,683575,639209,653476,93.51,49.4
Jharkhand,Giridih,24.30578509874329,86.08710915619386,2445474,1258098,1187376,1253475,94.38,51.26
Jharkhand,Godda,24.8189,87.2941735483871,1313551,677927,635624,604519,93.76,46.02
Jharkhand,Gumla,23.078532948929148,84.55056787479396,1025213,514390,510823,559720,99.31,54.6
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,791042,404830,386212,426312,95.4,53.89
Jharkhand,Latehar,23.72511185840708,84.48298743362837,726978,369666,357312,350682,96.66,48.24
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,461790,232629,229161,259707,98.51,56.24
Jharkhand,Pakur,24.57260428082189,87.69691969178076,900422,452661,447761,352881,98.92,39.19
Jharkhand,Palamu,24.196925968109337,84.20310842824594,1939869,1006302,933567,1024563,92.77,52.82
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,2914253,1494937,1419316,1911433,94.94,65.59
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,1150567,589391,561176,483263,95.21,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,599578,300309,299269,343483,99.65,57.29
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,1889752,950111,939641,1113412,98.9,58.92
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,990923,509172,481751,688749,94.61,69.51
Karnataka,Belgaum,16.16107219152853,74.72329042357275,4779661,2423063,2356598,3052032,97.26,63.85
Karnataka,Bellary,15.074377548209377,76.47228471074374,2452595,1236954,1215641,1421621,98.28,57.96
Karnataka,Bidar,17.950361730769224,77.19459961538459,1703300,870665,832635,1042673,95.63,61.21
Karnataka,Bijapur,16.84015316666667,75.95909166666665,255230,128663,126567,86919,98.37,34.06
Karnataka,Bijapur,16.84015316666667,75.95909166666665,2177331,1111022,1066309,1248268,95.98,57.33
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,1137961,566622,571339,818345,100.83,71.91
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,1659456,840843,818613,1087392,97.36,65.53
Karnataka,Davanagere,14.330414586709884,75.91723841166937,1945497,986400,959097,1308540,97.23,67.26
Karnataka,Dharwad,15.343831376975173,75.13831264108359,1847023,937206,909817,1301664,97.08,70.47
Karnataka,Gadag,15.507128256880746,75.64861302752298,1064570,537147,527423,700177,98.19,65.77
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,2566326,1301755,1264571,1427368,97.14,55.62
Karnataka,Hassan,12.945098749999998,76.11049549999997,1776421,883667,892754,1225256,101.03,68.97
Karnataka,Haveri,14.737582809224318,75.3961230607966,1597668,819128,778540,1085443,95.04,67.94
Karnataka,Kodagu,12.39684468085106,75.79336595744688,554519,274608,279911,412877,101.93,74.46
Karnataka,Kolar,13.312799881235172,78.01376947743476,1536401,776396,760005,1016219,97.89,66.14
Karnataka,Koppal,15.651253271028034,76.1617048598131,1389920,699926,689994,809085,98.58,58.21
Karnataka,Mandya,12.574901806239744,76.81570098522172,1805769,905085,900684,1149649,99.51,63.67
Karnataka,Mysore,12.248100259403367,76.52881802853437,3001127,1511600,1489527,1962180,98.54,65.38
Karnataka,Raichur,16.050795353982295,76.87368606194688,1928812,964511,964301,979769,99.98,50.8
Karnataka,Shimoga,14.063845885634592,75.17882078103197,1752753,877415,875338,1263016,99.76,72.06
Karnataka,Tumkur,13.592467760074973,77.02297966260545,2678980,1350594,1328386,1813391,98.36,67.69
Karnataka,Udupi,13.450404228534568,74.72009990316337,1177361,562131,615230,926429,109.45,78.69
Kerala,Alappuzha,9.542602965599087,76.38010796263319,2127789,1013142,1114647,1852797,110.02,87.08
Kerala,Ernakulam,10.004879301987431,76.26957729035381,3282388,1619557,1662831,2855676,102.67,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,1108974,552808,556166,923010,100.61,83.23
Kerala,Kannur,11.941523076923056,75.35209891725934,2523003,1181446,1341557,2138434,113.55,84.76
Kerala,Kasaragod,12.33310309912974,75.07768497134369,1307375,628613,678762,1037492,107.98,79.36
Kerala,Kollam,8.929388820570157,76.6360775852431,2635375,1246968,1388407,2240273,111.34,85.01
Kerala,Kottayam,9.643701174068417,76.46059673302705,1974551,968289,1006262,1749798,103.92,88.62
Kerala,Kozhikode,11.392924270557026,75.71158720159153,3086293,1470942,1615351,2615443,109.82,84.74
Kerala,Malappuram,10.97329875666072,75.93910775606876,4112920,1960328,2152592,3311315,109.81,80.51
Kerala,Palakkad,10.784926903553291,76.49980490693744,2809934,1359478,1450456,2239492,106.69,79.7
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,3301427,1581678,1719749,2785408,108.73,84.37
Kerala,Thrissur,10.458932647907687,76.12321940836945,3121200,1480763,1640437,2678548,110.78,85.82
Kerala,Wayanad,11.715277464788736,76.07587007042254,817420,401684,415736,645585,103.5,78.98
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,749237,379114,370123,436595,97.63,58.27
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,845071,443837,401234,469109,90.4,55.51
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,1701698,842178,859520,1147623,102.06,67.44
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,1385881,699340,686541,549926,98.17,39.68
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,1575362,799236,776126,939769,97.11,59.65
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,1703005,926843,776162,1094917,83.74,64.29
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,2371061,1236130,1134931,1660690,91.81,70.04
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,757847,388504,369343,408679,95.07,53.93
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,1762375,936121,826254,943033,88.26,53.51
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,2090922,1064468,1026454,1294198,96.43,61.9
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,1264219,661873,602346,747715,91.01,59.14
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,786754,420157,366597,491445,87.25,62.46
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,1563715,805359,758356,925369,94.16,59.18
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,2185793,1112725,1073068,1077338,96.44,49.29
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,704524,351913,352611,378714,100.2,53.75
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,1241519,649362,592157,653980,91.19,52.68
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,2032036,1090327,941709,1357210,86.37,66.79
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,570465,294838,275627,352550,93.48,61.8
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,1241350,648725,592625,810644,91.35,65.3
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,3276697,1699627,1577070,2309130,92.79,70.47
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,2463289,1277278,1186011,1756468,92.85,71.31
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,1025048,515023,510025,352081,99.03,34.35
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,1292042,662013,630029,790773,95.17,61.2
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,1054905,525272,529633,604962,100.83,57.35
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,1340411,682851,657560,834591,96.3,62.26
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,1965970,1068417,897553,1179685,84.01,60.01
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,826067,422653,403414,508834,95.45,61.6
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,1016520,533480,483040,552559,90.55,54.36
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,1331597,700358,631239,820220,90.13,61.6
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,1545814,790212,755602,804245,95.62,52.03
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,1455069,738241,716828,825880,97.1,56.76
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,2365106,1225100,1140006,1441757,93.05,60.96
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,2378458,1256257,1122201,1545719,89.33,64.99
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,2228935,1157495,1071440,1371781,92.57,61.54
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,1311332,683743,627589,780362,91.79,59.51
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,1379131,695879,683252,864194,98.19,62.66
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,1066063,540021,526042,604194,97.41,56.68
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,1512681,780520,732161,894612,93.8,59.14
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,687861,361784,326077,328025,90.13,47.69
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,1726050,919795,806255,900846,87.66,52.19
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,1127033,575912,551121,600785,95.7,53.31
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,1445166,760355,684811,747940,90.06,51.75
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,1986864,1016289,970575,1240990,95.5,62.46
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,644758,330674,314084,356672,94.98,55.32
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,1458875,769568,689307,862918,89.57,59.15
Maharashtra,Akola,20.746310479041902,77.12122320359276,1813906,932334,881572,1411281,94.56,77.8
Maharashtra,Amravati,21.16520991810736,77.67583503184723,2888445,1480768,1407677,2251875,95.06,77.96
